,Name,University,Year of Graduation,Advisor,Link
82,Jessica  Jones ,Rensselaer Polytechnic Institute,2013,"[['Joyce Rogers McLaughlin ', 'University of California, Riverside', '1968']]",https://scholar.google.com//citations?hl=en&user=1TpcY1YAAAAJ
83,Jessica R  Jones ,University of Bath,2018,"[['James Harold Davenport ', 'University of Cambridge', '1979'], ['Guy  McCusker ', 'Imperial College London', '1996']]",https://scholar.google.com//citations?hl=en&user=kM4pNz0AAAAJ
84,Jim  Jones ,University of Colorado at Denver,1995,"[['Stephen Fahrney McCormick ', 'University of Southern California', '1971']]",https://scholar.google.com//citations?hl=en&user=fsXES88AAAAJ
85,Joel  Jones ,University of Illinois at Urbana-Champaign,2002,"[['Samuel Noah Kamin ', 'State University of New York at Stony Brook', '1979']]",https://scholar.google.com//citations?hl=en&user=EAvddnMAAAAJ
86,John William Jones ,Harvard University,1987,"[['Barry Charles Mazur ', 'Princeton University', '1959']]",https://scholar.google.com//citations?hl=en&user=-EzTc2oAAAAJ
87,John Bailey Jones ,University of Wisconsin-Madison,1998,"[['Rodolfo E Manuelli ', 'University of Minnesota - Twin Cities', '1986']]",https://scholar.google.com//citations?hl=en&user=MNk-eJQAAAAJ
88,Joshua  Jones ,Georgia Institute of Technology,2010,"[['Ashok Kumar Goel ', 'The Ohio State University', '1989']]",https://scholar.google.com//citations?hl=en&user=PKv2X_EAAAAJ
89,William Benjamin  Jones ,Georgia Institute of Technology,1953,"[['Benjamin Joseph  Dasher ', 'Massachusetts Institute of Technology', '1952']]",https://scholar.google.com//citations?hl=en&user=HP4KgpUAAAAJ
90,John  Jones Jr ,The George Washington University,1970,[['Thomas  Liverman ']],https://scholar.google.com//citations?hl=en&user=PIN5j8IAAAAJ
91,James  Jong ,University of Washington,1977,"[['Galen Richard Shorack ', 'Stanford University', '1965']]",https://scholar.google.com//citations?hl=en&user=WnhwBTYAAAAJ
92,Catholijn M Jonker ,Universiteit Utrecht,1994,"[['Dirk  van Dalen ', 'Universiteit van Amsterdam', '1963'], ['Jan  van Leeuwen ', 'Universiteit Utrecht', '1972']]",https://scholar.google.com//citations?hl=en&user=khyi_HIAAAAJ
93,Jagan Mohan  Jonnalagadda ,Jawaharlal Nehru Technological University,2012,[['VSR Deekshitulu  Gunturu ']],https://scholar.google.com//citations?hl=en&user=HAt5CZUAAAAJ
94,Bjorn Thor Jonsson ,University of Maryland College Park,1999,"[['Michael Jay Franklin ', 'University of Wisconsin-Madison', '1993']]",https://scholar.google.com//citations?hl=en&user=syXaq1IAAAAJ
95,Jakob  Jonsson ,Kungliga Tekniska Högskolan,2005,"[['Anders  Björner ', 'Stockholm University', '1979']]",https://scholar.google.com//citations?hl=en&user=KbXMcKQAAAAJ
96,Bjarni  Jónsson ,"University of California, Berkeley",1946,"[['Alfred  Tarski ', 'Uniwersytet Warszawski', '1924']]",https://scholar.google.com//citations?hl=en&user=RoZG9kAAAAAJ
97,Julius  Jonusas ,University of St. Andrews,2016,"[['James David Mitchell ', 'University of St. Andrews', '2002']]",https://scholar.google.com//citations?hl=en&user=cymXA6EAAAAJ
98,Jae-Cheon  Joo ,Pohang University of Science and Technology,2005,"[['Kang-Tae  Kim ', 'University of California, Los Angeles', '1988']]",https://scholar.google.com//citations?hl=en&user=XscZYOgAAAAJ
99,Joost J Joosten ,Universiteit Utrecht,2004,"[['Albert  Visser ', 'Universiteit Utrecht', '1981'], ['Dick H J de Jongh ', 'University of Wisconsin-Madison', '1968'], ['Lev Dmitrievich Beklemishev ', 'Steklov Institute of Mathematics', '1992']]",https://scholar.google.com//citations?hl=en&user=kESloJIAAAAJ
100,Jens  Jordan ,rer. nat. Bayerische Julius-Maximilians-Universität Würzburg,2008,"[['Uwe  Helmke ', 'Universität Bremen', '1982']]",https://scholar.google.com//citations?hl=en&user=FtB0sYsAAAAJ
101,Joaquim Armando Pires Jorge ,Rensselaer Polytechnic Institute,1995,"[['Ephraim P Glinert ', 'University of Washington', '1985']]",https://scholar.google.com//citations?hl=en&user=RgiMdpAAAAAJ
102,José Manuel  Jorge ,Universitat Pompeu Fabra,2005,"[['Xavier  Freixas Dargallo ', 'Université de Toulouse', '1978']]",https://scholar.google.com//citations?hl=en&user=z3ODO54AAAAJ
103,Juan Carlos Jorge ,"[['Francisco Javier Lisbona ', 'en Matematicas Universidad de Bilbao', '1976']]",[],[],https://scholar.google.com//citations?hl=en&user=rZdwHqwAAAAJ
104,Jakob Sauer Jørgensen ,Technical University of Denmark,2013,"[['Per Christian  Hansen ', 'Technical University of Denmark', '1982']]",https://scholar.google.com//citations?hl=en&user=SaS8oRYAAAAJ
